,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
1394,Lowongan Business Development (Karawang),Pt Bluepay Digital International,4 days ago,Be among the first 25 applicants,Associate,Consumer Goods,Full-time,"['Business Development', 'Sales']",
1395,Lowongan Business Analyst,Sunrecruit Indonesia,3 weeks ago,Be among the first 25 applicants,Associate,"['Human Resources', 'Management Consulting']",Full-time,"['Business Development', 'Sales']",
1396,Lowongan NodeJS Developer,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,"['Engineering', 'Information Technology']",
1397,"Senior Manager, Performance Marketing (Bangkok-based, relocation provided)",Agoda,4 weeks ago,25 applicants,Associate,Internet,Full-time,"['Consulting', 'Information Technology', 'Sales']","1,001-5,000 employees"
1398,DEVELOPER POWER BI,PT Kwadran Lima Mitra Kaya Solusi,1 month ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
1399,Senior Software Engineer,Xendit,4 days ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1400,Senior iOS Engineer,Ruangguru.com,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1401,Data Engineer,Ellen May Institute,2 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,Information Technology,
1402,Lowongan Penetration Tester,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,Other,
1403,Software Engineer - Xperience,Traveloka,3 months ago,155 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
1404,Data Engineering Consultant,Devoteam Cloud Services,8 hours ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,"['Sales', 'Business Development']",201-500 employees
1405,Data Engineer,PT Solman Manunggal Informatika,3 days ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,Information Technology,51-200 employees
1406,Tech Recruiter - Jakarta,JULO,4 days ago,Be among the first 25 applicants,Associate,"['Banking', 'Financial Services', 'Accounting']",Full-time,Human Resources,
1407,"Senior Software Engineer, Trilogy (Remote) - $60,000/year USD",Crossover for Work,17 hours ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Information Technology and Services', 'Internet']",Full-time,"['Business Development', 'Engineering', 'Information Technology']","1,001-5,000 employees"
1408,Fleet Support Data Assistant Manager,Ninja Van,3 days ago,Be among the first 25 applicants,Entry level,Logistics and Supply Chain,Full-time,Other,"501-1,000 employees"
1409,Data Engineer,Cicil,2 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,Information Technology,
1410,Apprenticeship Program (Terrie),Pt Citra Tubindo Tbk,3 weeks ago,113 applicants,Not Applicable,Oil & Energy,Full-time,Other,
1411,Senior Software Engineer in Test,Moka,5 months ago,35 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']","501-1,000 employees"
1412,"Business Analyst – Partner Programs (Bangkok based, relocation provided)",Agoda,4 weeks ago,195 applicants,Associate,Internet,Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
1413,Lead Software Engineer,CrediBook,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1414,Backend Software Engineer,Payfazz (PT. Payfazz Teknologi Nusantara),6 days ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1415,Lowongan Marketing Data Analyst,PT. Finansia Multi Finance,3 weeks ago,97 applicants,Associate,"['Banking', 'Financial Services']",Full-time,Information Technology,"10,001+ employees"
1416,Data Scientist Intern,Mekari (PT. Mid Solusi Nusantara),2 weeks ago,91 applicants,Internship,"['Information Technology and Services', 'Computer Software', 'Internet']",Internship,"['Engineering', 'Information Technology']",
1417,"Business Analyst (Intern) – Resources, Infrastructure, and Utilities (RIU) - Jakarta","MARKPLUS, INC.",2 weeks ago,169 applicants,Internship,"['Marketing and Advertising', 'Online Media', 'Public Relations and Communications']",Internship,"['Business Development', 'Sales']",201-500 employees
1418,Organon - Quality Analyst Raw Material,MSD,4 days ago,Be among the first 25 applicants,Associate,"['Biotechnology', 'Pharmaceuticals', 'Veterinary']",Full-time,Quality Assurance,"10,001+ employees"
1419,Data Scientist,Ruangguru.com,1 month ago,63 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1420,Regulatory Compliance Specialist,Traveloka,3 months ago,Over 200 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Finance', 'Sales']","1,001-5,000 employees"
1421,Project Management Officer,Qasir,1 month ago,39 applicants,Mid-Senior level,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,"['Project Management', 'Information Technology']",
1422,IT Business Analyst,Erajaya Group,3 weeks ago,74 applicants,Associate,"['Marketing and Advertising', 'Consumer Goods', 'Retail']",Full-time,"['Business Development', 'Sales']",
1423,Data Engineer (Remote),TreeDots,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1424,Senior Merchandiser,PT. Jakarta Notebook,1 month ago,32 applicants,Associate,"['Marketing and Advertising', 'Online Media', 'Financial Services']",Full-time,"['Marketing', 'Sales']",
1425,Quantitative Researcher - Jakarta,Pinnacle Investment,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Finance', 'Sales']",
1426,Indonesian into English - Patent translations (IT) Remote - Freelancer,Welocalize,3 weeks ago,36 applicants,Associate,Translation and Localization,Full-time,Writing/Editing,"1,001-5,000 employees"
1427,Manager - Quality assurance (QA) Lead - ID,Deloitte,5 months ago,Over 200 applicants,Mid-Senior level,"['Management Consulting', 'Information Technology and Services', 'Computer Software']",Full-time,Quality Assurance,"10,001+ employees"
1428,Junior Software Engineer,Finfleet,4 months ago,66 applicants,Associate,Financial Services,Full-time,"['Information Technology', 'Engineering']",
1429,Data Analyst,Migo,2 months ago,Over 200 applicants,Entry level,"['Computer Software', 'Internet', 'Consumer Goods']",Full-time,Information Technology,51-200 employees
1430,Software Engineer - Front End,Sinbad,2 weeks ago,Be among the first 25 applicants,Mid-Senior level,Logistics and Supply Chain,Full-time,"['Information Technology', 'Engineering']",51-200 employees
1431,Internal Audit Data Analytics Specialist,PT Bank Jago Tbk,2 months ago,Over 200 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Accounting/Auditing', 'Finance']",201-500 employees
1432,Senior Software Engineer,Tokomodal (PT Toko Modal Mitra Usaha),4 weeks ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Engineering', 'Information Technology']",2-10 employees
1433,Product Marketing Manager - KYC,Go-Jek,4 days ago,Be among the first 25 applicants,Entry level,Marketing and Advertising,Full-time,"['Marketing', 'Sales']",
1434,Software Engineer,CrediBook,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1435,Lowongan Account Manager (Enterprise),PT JAC Indonesia,3 days ago,Be among the first 25 applicants,Entry level,Management Consulting,Full-time,"['Sales', 'Business Development']",
1436,Business Analyst MD Beauty,Jd .Id (Pt Ritel Bersama Nasional),2 days ago,Be among the first 25 applicants,Associate,Retail,Full-time,"['Business Development', 'Sales']",
1437,Senior Data Engineer,Akseleran,18 hours ago,Be among the first 25 applicants,Mid-Senior level,"['Financial Services', 'Information Technology and Services']",Full-time,"['Analyst', 'Engineering', 'Information Technology']",51-200 employees
1438,Senior Data Scientist,PT. Sarimelati Kencana Tbk.,4 weeks ago,170 applicants,Mid-Senior level,Restaurants,Contract,"['Engineering', 'Information Technology']","5,001-10,000 employees"
1439,Senior Software Engineer,ilmuOne Data,4 months ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,Consulting,
1440,Product Manager - Jakarta,Halodoc ID,1 day ago,36 applicants,Entry level,,Full-time,"['Product Management', 'Marketing']",201-500 employees
1441,Market Procurement Manager,Philips,6 days ago,197 applicants,Not Applicable,Hospital & Health Care,Full-time,"['Purchasing', 'Supply Chain']","10,001+ employees"
1442,Senior .NET Developer Consultant,MSBU,3 months ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,Consulting,
1443,Lowongan Senior Data Engineer,PT SehatQ Harsana Emedika,3 days ago,Be among the first 25 applicants,Associate,"['Pharmaceuticals', 'Medical Practice']",Full-time,Information Technology,
1444,Senior Security Engineer - Depok,Flip,4 days ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1445,Data Engineer - Jakarta,Gramedia e-Perpust,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
1446,Data Scientist,PT. Astra Welab Digital Arta,4 weeks ago,60 applicants,Entry level,"['Information Technology and Services', 'Banking', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",
1447,Business Development Manager(Jakarta),"8x8, Inc",1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Contract,"['Sales', 'Business Development']",
1448,Senior Software Engineer (Back-End),Qoala,2 months ago,Be among the first 25 applicants,Associate,"['Internet', 'Staffing and Recruiting', 'Insurance']",Full-time,"['Engineering', 'Information Technology']",
1449,Data Scientist - Jakarta,Katalis Insight,1 day ago,32 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
1450,Data Analyst,Ruangguru.com,1 month ago,90 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1451,"Senior Business Analyst – Partner Programs (Bangkok based, relocation provided)",Agoda,4 weeks ago,70 applicants,Associate,Internet,Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
1452,Data Warehouse Engineer - GoPay,Go-Jek,3 days ago,Be among the first 25 applicants,Entry level,Hospitality,Full-time,"['Business Development', 'Sales']",
1453,Consultant / Senior Consultant - SAP - ID,Deloitte,2 months ago,46 applicants,Associate,"['Management Consulting', 'Information Technology and Services', 'Computer Software']",Full-time,Information Technology,"10,001+ employees"
1454,Software Engineer - Fullstack,99.co,1 month ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1455,Learning & Development Process Improvement Specialist – Bangkok Based,Agoda,4 weeks ago,Over 200 applicants,Mid-Senior level,Internet,Full-time,Human Resources,"1,001-5,000 employees"
1456,Lowongan Business Analyst (SAP FICO),PT Korea Tomorrow & Global Indonesia,2 weeks ago,Be among the first 25 applicants,Associate,Retail,Full-time,"['Business Development', 'Sales']",
