Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
247,Business Analyst,Dans Multi Pro,Posted 5 months ago,9 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
248,Technical Business Analyst,RGF,Posted 5 days ago,3 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Automotive', 'Consumer Goods', 'Financial Services']"
249,Technical Business Analyst,RGF,Posted 5 days ago,2 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Automotive', 'Consumer Goods', 'Financial Services']"
250,Tech Recruiter - Jakarta,JULO,Posted 5 days ago,21 applicants,,Associate,Full-time,Human Resources,"['Banking', 'Financial Services', 'Accounting']"
251,Technical Business Analyst,RGF,Posted 5 days ago,5 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Automotive', 'Consumer Goods', 'Financial Services']"
252,IT Business Analyst,Erajaya Group,Posted 3 weeks ago,74 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Consumer Goods', 'Retail']"
253,Team Leader for Data Analyst and BI Reporting,PT Koltiva,Posted 5 days ago,5 applicants,,Associate,Full-time,Information Technology,
254,Lowongan Business Analyst,PT Serba Mulia Auto,Posted 3 weeks ago,13 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Automotive
255,Lowongan Business Analyst,PT Nityo Infotech,Posted 5 days ago,7 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Information Technology & Services
256,IT System Analyst,PT Electronic Data Interchange Indonesia,Posted 1 month ago,30 applicants,,Associate,Full-time,Information Technology,Information Technology & Services
257,System Business Analyst,PT Rekeningku Dotcom Indonesia,Posted 2 days ago,6 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
258,IT Business Analyst (Banking & Insurance),PT. Indocyber Global Technology,Posted 4 days ago,49 applicants,,Mid-Senior level,Full-time,Information Technology,Information Technology & Services
259,Lowongan Staff Data Analyst,PT Rifan Financindo Semarang,Posted 3 weeks ago,23 applicants,,Associate,Full-time,Information Technology,"['Banking', 'Financial Services']"
260,Business Analyst,Hiremaxi,Posted 7 hours ago,3 applicants,,,Full-time,Business Development,
261,Marketing Planner (Digital Marketing),Jetcommerce,Posted 3 weeks ago,46 applicants,,Associate,Full-time,"['Marketing', 'Sales']","['Marketing & Advertising', 'Internet', 'Consumer Goods']"
262,"Growth Analytics Lead, Financial Services Platform",Go-Jek,Posted 5 days ago,0 applicants,,Associate,Full-time,Other,Logistics & Supply Chain
263,Program Beasiswa :,PT. Aplikasi Evolusi Indonesia,Posted 4 days ago,8 applicants,,,Full-time,Education,Internet
264,Digital Marketing (Marketing Planner),Jetcommerce,Posted 1 week ago,59 applicants,,Associate,Full-time,"['Marketing', 'Sales']","['Marketing & Advertising', 'Internet', 'Consumer Goods']"
265,Credit Risk Analyst,Aspire - SEA,Posted 1 day ago,60 applicants,,Associate,Full-time,"['Finance', 'Sales']","['Internet', 'Banking', 'Financial Services']"
266,Tech Recruiter,JULO,Posted 1 week ago,8 applicants,,Associate,Full-time,Human Resources,"['Information Technology & Services', 'Computer Software', 'Internet']"
